post_id;post_date;likes_count
1;13.06.2021 16:28;21
2;27.06.2024 12:23;0
3;08.06.2024 17:53;1
4;31.05.2024 20:56;1
5;01.03.2024 12:07;40
6;20.01.2024 23:25;0
7;18.01.2024 17:48;0
8;12.11.2023 10:48;2
9;11.10.2023 13:56;78
10;17.07.2023 23:14;15
11;14.07.2023 18:20;2
12;04.06.2023 23:16;24
13;31.05.2023 12:39;2
14;21.04.2023 20:50;1
15;17.02.2023 23:14;91
16;17.01.2023 1:00;0
17;18.09.2022 20:16;114
18;14.09.2022 7:25;1
19;11.09.2022 13:53;36
20;24.08.2022 1:21;0
21;19.07.2022 21:20;11
22;19.07.2022 16:16;1
23;30.06.2022 10:23;2
24;19.04.2022 23:21;2
25;29.03.2022 22:56;99
26;13.03.2022 13:04;4
27;19.02.2022 8:43;5
28;21.11.2021 21:22;7
29;13.08.2021 22:05;25
30;19.07.2021 9:50;5
31;20.07.2020 10:59;8
32;07.09.2019 11:38;11
33;27.08.2019 20:31;20
34;19.07.2019 13:26;8
35;19.07.2018 14:08;13
